Date,Time,Ax,Ay,Az,Gx,Gy,Gz
2025-02-01,10:28:30,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-01,10:28:30,0.02,-0.03,1.01,0.06,0.00,-0.12
2025-02-01,10:28:30,0.02,-0.03,1.01,-0.12,-0.06,-0.06
2025-02-01,10:28:30,0.02,-0.03,1.01,-0.49,-0.18,-0.12
2025-02-01,10:28:30,0.02,0.09,1.10,41.99,-5.55,32.96
2025-02-01,10:28:30,-0.09,-0.54,0.92,36.74,7.14,12.82
2025-02-01,10:28:30,0.09,-0.16,0.97,-108.52,19.59,-20.14
2025-02-01,10:28:30,0.21,-0.23,0.95,6.23,-6.23,-94.12
2025-02-01,10:28:30,0.04,0.55,0.93,-5.00,4.58,35.52
2025-02-01,10:28:30,0.12,-0.11,1.03,41.87,8.73,-59.75
2025-02-01,10:28:30,0.14,-0.20,0.97,-2.20,-1.71,31.98
2025-02-01,10:28:30,0.10,0.09,1.04,3.72,-4.33,13.79
2025-02-01,10:28:30,0.13,-0.08,1.00,-0.24,5.25,-31.31
2025-02-01,10:28:30,0.12,-0.08,0.96,6.04,-7.63,38.09
2025-02-01,10:28:30,0.07,0.01,1.03,-4.27,-1.65,-28.44
2025-02-01,10:28:30,0.13,-0.27,0.95,-1.95,-5.86,23.80
2025-02-01,10:28:30,0.03,0.19,1.04,-1.71,-1.59,9.52
2025-02-01,10:28:30,0.09,-0.19,0.98,1.10,2.93,-28.75
2025-02-01,10:28:30,0.07,0.14,1.02,2.56,0.24,32.47
2025-02-01,10:28:30,0.10,-0.05,0.99,-0.55,1.53,-33.51
2025-02-01,10:28:30,0.05,-0.10,0.97,4.33,-1.89,38.82
2025-02-01,10:28:30,0.04,0.01,1.02,0.85,-0.85,-23.44
2025-02-01,10:28:30,0.10,-0.22,0.99,-5.31,-5.13,20.32
2025-02-01,10:28:30,0.03,0.08,0.98,-3.91,2.62,-19.84
2025-02-01,10:28:30,0.09,-0.15,0.97,0.79,-0.06,32.90
2025-02-01,10:28:30,0.04,0.05,0.94,-3.60,-1.34,-26.67
2025-02-01,10:28:30,0.09,-0.28,0.98,0.49,-0.92,-11.72
2025-02-01,10:28:30,0.07,0.02,1.00,2.81,0.92,25.21
2025-02-01,10:28:30,0.09,-0.14,0.99,4.88,4.88,-62.74
2025-02-01,10:28:30,0.05,0.08,1.03,9.58,-3.11,59.14
2025-02-01,10:28:30,0.10,-0.32,0.96,2.62,8.12,-101.93
2025-02-01,10:28:30,0.07,0.10,1.04,-1.22,-2.56,47.73
2025-02-01,10:28:30,0.11,-0.31,1.00,-4.76,9.40,-83.80
2025-02-01,10:28:30,0.08,-0.02,1.00,2.32,-9.95,53.28
2025-02-01,10:28:30,0.10,-0.30,0.94,-9.28,8.67,-74.46
2025-02-01,10:28:30,0.05,0.05,1.05,2.56,-11.78,56.64
2025-02-01,10:28:30,0.08,-0.19,0.98,-2.56,13.00,-64.70
2025-02-01,10:28:30,0.04,0.04,1.04,-0.37,-14.89,69.52
2025-02-01,10:28:30,0.05,-0.22,0.99,-1.71,9.52,-67.99
2025-02-01,10:28:30,0.03,0.21,1.07,5.31,-9.52,75.32
2025-02-01,10:28:30,0.07,-0.39,0.99,8.00,4.46,-20.39
2025-02-01,10:28:30,0.01,0.25,1.08,-0.43,-4.76,54.81
2025-02-01,10:28:30,0.09,-0.36,0.99,3.17,2.20,-9.03
2025-02-01,10:28:30,0.08,-0.07,0.96,-1.83,5.25,-11.17
2025-02-01,10:28:30,-0.02,-0.18,0.82,-1.40,22.16,-24.78
2025-02-01,10:28:30,0.08,-0.17,1.01,6.47,11.23,15.99
2025-02-01,10:28:30,0.33,-0.09,0.70,-26.79,2.20,-2.75
