Timesteps,Temperature
1,28.1
2,28.1
3,28.2
4,28.2
5,28.3
6,28.2
7,28.3
8,28.4
9,28.3
10,28.4
11,28.5
12,28.5
13,28.6
14,28.5
15,28.6
16,28.7
17,28.6
18,28.7
19,28.8
20,28.7
21,28.8
22,28.9
23,28.8
24,28.9
25,29.0
26,28.9
27,29.0
28,29.1
29,29.0
30,29.1
31,29.2
32,29.1
33,29.2
34,29.3
35,29.2
36,29.3
37,29.4
38,29.3
39,29.4
40,29.5
41,29.4
42,29.5
43,29.6
44,29.5
45,29.6
46,29.7
47,29.6
48,29.7
49,29.8
50,29.7
51,29.8
52,29.9
53,29.8
54,29.9
55,30.0
56,29.9
57,30.0
58,30.1
59,30.0
60,30.1
61,30.2
62,30.1
63,30.2
64,30.3
65,30.2
66,30.3
67,30.4
68,30.3
69,30.4
70,30.5
71,30.4
72,30.5
73,30.6
74,30.5
75,30.6
76,30.7
77,30.6
78,30.7
79,30.8
80,30.7
81,30.8
82,30.9
83,30.8
84,30.9
85,31.0
86,30.9
87,31.0
88,31.1
89,31.0
90,31.1
91,31.2
92,31.1
93,31.2
94,31.3
95,31.2
96,31.3
97,31.4
98,31.3
99,31.4
100,32.0
101,32.5
102,33.0
103,33.5
104,34.0
105,34.4
106,34.8
107,35.1
108,35.3
109,35.4
110,35.5
111,35.4
112,35.2
113,35.0
114,34.8
115,34.6
116,34.4
117,34.2
118,34.0
119,33.8
120,33.6
121,33.4
122,33.2
123,33.0
124,32.8
125,32.6
126,32.4
127,32.2
128,32.0
129,31.8
130,31.6
131,31.4
132,31.2
133,31.0
134,30.8
135,30.6
136,30.4
137,30.2
138,30.0
139,29.8
140,29.6
141,29.5
142,29.4
143,29.4
144,29.3
145,29.3
146,29.2
147,29.2
148,29.1
149,29.1
150,29.0
151,29.0
152,28.9
153,28.9
154,28.8
155,28.8
156,28.7
157,28.7
158,28.6
159,28.6
160,28.5
161,28.5
162,28.4
163,28.4
164,28.3
165,28.3
166,28.2
167,28.2
168,28.1
169,28.1
170,28.0
171,28.0
172,28.1
173,28.1
174,28.2
175,28.2
176,28.1
177,28.1
178,28.0
179,28.0
180,27.9
181,27.9
182,27.8
183,27.8
184,27.9
185,27.9
186,28.0
187,28.0
188,27.9
189,27.9
190,28.0
191,28.0
192,28.1
193,28.1
194,28.2
195,28.2
196,28.3
197,28.3
198,28.4
199,28.4
200,28.5
201,28.5
202,28.4
203,28.4
204,28.3
205,28.3
206,28.2
207,28.2
208,28.1
209,28.1
210,28.0
211,28.0
212,28.1
213,28.1
214,28.2
215,28.2
216,28.1
217,28.1
218,28.0
219,28.0
220,27.9
221,27.9
222,27.8
223,27.8
224,27.9
225,27.9
226,28.0
227,28.0
228,27.9
229,27.9
230,28.0
231,28.0
232,28.1
233,28.1
234,28.2
235,28.2
236,28.3
237,28.3
238,28.4
239,28.4
240,28.5
241,28.5
242,28.4
243,28.4
244,28.3
245,28.3
246,28.2
247,28.2
248,28.1
249,28.1
250,29.2
251,30.5
252,31.8
253,32.9
254,33.6
255,34.1
256,34.3
257,34.2
258,33.8
259,33.3
